ID,SMILES,Reward,CID
Z4121492409,CC1=C(C=C(C=C1)NC(=O)N2CCC(C2)(C3=CC=CC=C3F)O)S(=O)(=O)N4CCCCCC4,1,146076444.0
Z4121492418,Cn1ccc(-n2cc(-c3csc(C(NC(=O)c4ccccc4)c4ccccc4)n3)nn2)n1,1
Z4121492096,CC(C)(C#N)C1=CC(=CC=C1)NC(=O)[C@@H](C2=CC=CC=C2)N3CC4=CC=CC=C4C3=O,1,146094185.0
Z1893460093,Cc1cc(CNC(=O)C(=O)NC(c2ccccc2)c2nccs2)c(C)n1-c1ccccc1,1
Z4121492102,CC(=O)NCCC1=CNC2=C1C=C(C=C2)NC(=O)C3=CC=C(O3)C4=CC=CC=C4F,1,146094186.0
Z1565632280,O=S(C1=CC=CC=C1)(N2CC[C@@H](COC(C3=CC=CC(S(=O)(N=S(C)(C)=O)=O)=C3)=O)C2)=O,1,
Z4121492512,CN1CCC2=C(C1=O)C=CC=C2NC(=O)C(=O)NC(CCC3=CC=CC=C3)C4=CC=CC=C4,1,146094198.0
Z813262444,CC(C)NS(=O)(=O)C1=CC=C(C=C1)NC(=O)N(CC2CCCO2)CC3=CC=CO3,1,146088611.0
Z4121492118,C1=CC=C(C=C1)CN(CCNC(=O)C2=CC=C(S2)C#N)C(=O)C3=CC(=CS3)C(F)(F)F,1,165789468.0
Z4121641081,CC(C)NS(=O)(=O)C1=CC=CC(=C1)CN=C(NCCC=C(C)C)NCC2CCCCO2.Br,1,146094205.0
Z1733682771,C1CC1CN2C(=O)CCC3=C2C=CC(=C3)NC(=O)NCCNS(=O)(=O)C4=CN=CC=C4,1,146090509.0
Z439615516,CC1=CC(=CC(=C1)NC(=O)C(=O)NC(CN2CCCC2=O)C3=CC(=CC=C3)C(F)(F)F)C,1,146088345.0
Z3561062829,CC(C)N1C2=C(C=C(C=C2)NC(=O)C(=O)NCC3(CC(C3)(C)C)CO)C=N1,1,146101738.0
Z4121640613,CC(C)NS(=O)(=O)C1=CC=CC(=C1)CN=C(NCCC2=CC=CS2)NC3CCS(=O)(=O)C3.Br,1,146094203.0
Z4121492133,CS(=NS(=O)(=O)C1=CC=CC(=C1)C(=O)OCC2=CC=CC3=C2SC=C3)(=O)C,1,146094179.0
Z2008423913,CCOC(=O)C1=[SH]c2ncnc(N3CCC(Nc4nc(N)n[nH]4)CC3)c2C1C,1
Z4121492608,O=C1CCC(c2cccc(NC(=O)C(=O)NC(CCc3ccccc3)c3ccccc3)c2)N1,1
Z4121492610,C1CC1NS(=O)(=O)C2=CC=C(C=C2)S(=O)(=O)NC(CCC3=CC=CC=C3)C4=CC=CC=N4,1,146094199.0
Z4121492611,C1CC1C(=O)N2CCC3=C2C=C(C=C3)S(=O)(=O)NC(CCC4=CC=CC=C4)C5=CC=CC=N5,1,146094200.0
Z4121492147,C1CCC(CC1)N2C=C(C=N2)S(=O)(=O)NC3=C(C=C(C=C3)Cl)C(=O)C4=CC=C(C=C4)F,1,146094180.0
Z1270981281,CC1=CC=C(S1)CN(CC2=CC=CO2)S(=O)(=O)C3=CN(N=C3)C4=CC=CC=C4F,1,146089463.0
Z4121493648,CC1(C)CC(CO)(CNC(=O)C(=O)Nc2cc(-c3ccccc3)ccc2Cl)C1,1
Z4121492158,NC(=O)C1CC2(CC(NC(=O)NCc3oc4ccc(Cl)cc4c3-c3ccccc3)C2)C1,1
Z4121492674,CCCCC(C(=O)NC1=CC(=CC=C1)N2CCCC2)NS(=O)(=O)C3CC4(C3)CC4,1,165786552.0
Z4121492676,C1CC(=O)NC1C2=CC=C(C=C2)NC(=O)C3=CC4=C(S3)C5=CC=CC=C5OC4,1,146094194.0
Z4121492165,C1C(=CC2=C(O1)C=CC(=C2)Cl)S(=O)(=O)N(CCC3=CC=CC=N3)CC4=CN=CC=C4,1,146094181.0
Z4121492696,C1CCC(C1)N2C=C(C=N2)S(=O)(=O)N(CCCN3CCOCC3)C4CCS(=O)(=O)C4,1,146094195.0
Z4121492008,CC1(CC(C1)(CNC(=O)C(=O)NC2=CC=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)F)CO)C,1,146094176.0
